# Time-averaged data for fix dU
# TimeStep c_1[1] c_1[2] c_2[1] c_2[2]
36000 0.133346 0.798376 0.196873 0.717164
36100 0.138557 0.791382 0.196608 0.717486
36200 0.153058 0.772239 0.184886 0.731828
36300 0.183757 0.733225 0.158588 0.76506
36400 0.198809 0.714823 0.143573 0.784707
36500 0.264273 0.640013 0.0907115 0.857975
36600 0.335106 0.567862 0.0317621 0.947778
36700 0.25523 0.649862 0.0954581 0.851125
36800 0.21027 0.701122 0.134743 0.796495
36900 0.139863 0.789638 0.199106 0.714466
37000 0.0870881 0.863241 0.241793 0.664776
37100 0.105303 0.837093 0.218959 0.69091
37200 0.145246 0.782493 0.180096 0.737773
37300 0.184696 0.732063 0.149736 0.776583
37400 0.308085 0.594372 0.0534002 0.913772
37500 0.358071 0.546261 0.0148882 0.975172
37600 0.269734 0.634138 0.090493 0.858292
37700 0.317012 0.58548 0.0532704 0.913972
37800 0.294153 0.608521 0.0696519 0.889036
37900 0.234985 0.672463 0.117088 0.820599
38000 0.22097 0.688568 0.134354 0.797018
38100 0.229329 0.678917 0.129755 0.803232
38200 0.246564 0.659442 0.111322 0.828628
38300 0.256364 0.648618 0.100979 0.843227
38400 0.249766 0.655886 0.104297 0.838516
38500 0.277112 0.626287 0.081486 0.871446
38600 0.313411 0.589051 0.0490419 0.920522
38700 0.318975 0.583542 0.0495749 0.919693
38800 0.288689 0.614162 0.0719046 0.88566
38900 0.291326 0.611433 0.0703163 0.888039
39000 0.326799 0.575883 0.0436648 0.928918
39100 0.325144 0.577495 0.0434325 0.929283
39200 0.299684 0.602865 0.0674867 0.892292
39300 0.256581 0.648381 0.10721 0.834401
39400 0.274488 0.629068 0.0886781 0.860926
39500 0.16007 0.763148 0.177915 0.740495
39600 0.244922 0.661272 0.105899 0.836251
39700 0.237966 0.669087 0.10846 0.832641
39800 0.234314 0.673225 0.108338 0.832813
39900 0.166634 0.754736 0.166634 0.754736
40000 0.221801 0.687602 0.116516 0.821391
40100 0.242753 0.663699 0.101716 0.842178
40200 0.199086 0.714489 0.135717 0.795187
40300 0.152969 0.772355 0.173438 0.746114
40400 0.139101 0.790655 0.180971 0.736683
40500 0.185802 0.730698 0.143903 0.78427
40600 0.184137 0.732755 0.140601 0.788656
40700 0.174359 0.744955 0.148245 0.778541
40800 0.187347 0.728794 0.137575 0.792695
40900 0.164687 0.757221 0.157481 0.766492
41000 0.155749 0.768737 0.166182 0.755312
41100 0.181991 0.735416 0.148279 0.778496
41200 0.213803 0.696951 0.129217 0.803962
41300 0.18768 0.728385 0.156631 0.767594
41400 0.253133 0.652168 0.106451 0.835471
41500 0.208057 0.703747 0.14322 0.785175
